 !simulation7.dat                
     15.0000      0.0500     70.0000
       12.55       13.44       14.17       14.75       15.25       15.71       16.23       16.85
       17.58       18.41       19.27       20.10       20.82       21.35       21.68       21.83
       21.86       21.87       21.97       22.26       22.77       23.54       24.50       25.57
       26.63       27.59       28.35       28.88       29.23       29.48       29.75       30.19
       30.90       31.96       33.37       35.04       36.86       38.68       40.34       41.77
       42.93       43.89       44.81       45.87       47.29       49.23       51.78       54.92
       58.54       62.44       66.40       70.20       73.77       77.12       80.45       84.10
       88.47       94.00      101.03      109.78      120.25      132.34      145.85      160.67
      177.00      195.53      217.62      245.44      281.91      330.61      395.44      480.20
      588.06      721.01      879.29     1061.02     1261.98     1475.60     1693.25     1904.80
     2099.33     2266.07     2395.27     2479.14     2512.53     2493.39     2422.99     2305.75
     2148.82     1961.40     1753.93     1537.13     1321.19     1114.97      925.51      757.66
      614.05      495.21      399.92      325.66      269.14      226.74      194.94      170.69
      151.50      135.60      121.84      109.59       98.63       88.91       80.48       73.37
       67.50       62.72       58.78       55.43       52.40       49.49       46.60       43.68
       40.77       37.98       35.39       33.09       31.13       29.52       28.20       27.10
       26.12       25.17       24.18       23.13       22.02       20.87       19.74       18.69
       17.76       16.98       16.34       15.82       15.39       15.00       14.60       14.16
       13.67       13.13       12.57       12.01       11.48       11.02       10.64       10.33
       10.09        9.89        9.71        9.51        9.28        9.02        8.72        8.40
        8.08        7.79        7.53        7.32        7.15        7.02        6.92        6.82
        6.72        6.59        6.43        6.25        6.06        5.86        5.68        5.52
        5.39        5.30        5.22        5.17        5.11        5.05        4.97        4.88
        4.76        4.64        4.51        4.39        4.29        4.21        4.15        4.10
        4.07        4.04        4.01        3.96        3.89        3.82        3.73        3.65
        3.57        3.50        3.44        3.41        3.38        3.37        3.35        3.33
        3.30        3.26        3.21        3.15        3.09        3.04        2.99        2.95
        2.93        2.92        2.91        2.90        2.89        2.88        2.85        2.82
        2.78        2.74        2.70        2.67        2.65        2.63        2.63        2.63
        2.63        2.63        2.62        2.61        2.59        2.56        2.54        2.51
        2.49        2.48        2.47        2.48        2.48        2.49        2.50        2.50
        2.50        2.49        2.48        2.46        2.45        2.44        2.44        2.44
        2.45        2.46        2.48        2.50        2.51        2.52        2.52        2.52
        2.52        2.51        2.52        2.52        2.54        2.56        2.58        2.61
        2.63        2.66        2.68        2.69        2.71        2.72        2.74        2.75
        2.77        2.80        2.84        2.88        2.92        2.96        3.00        3.04
        3.08        3.12        3.15        3.19        3.23        3.28        3.33        3.39
        3.46        3.53        3.60        3.68        3.75        3.83        3.90        3.98
        4.06        4.15        4.25        4.35        4.47        4.59        4.73        4.87
        5.01        5.17        5.33        5.50        5.67        5.86        6.06        6.28
        6.51        6.77        7.05        7.36        7.68        8.04        8.42        8.83
        9.27        9.75       10.27       10.84       11.48       12.18       12.97       13.84
       14.82       15.92       17.17       18.60       20.28       22.31       24.87       28.25
       32.95       39.73       49.72       64.56       86.37      117.75      161.59      220.68
      297.11      391.66      503.02      627.30      757.67      884.44      995.55     1078.01
     1120.66     1117.82     1071.31      989.40      883.60      765.77      646.39      533.65
      433.12      347.76      278.28      223.74      182.16      151.15      128.30      111.50
       99.03       89.60       82.28       76.44       71.66       67.64       64.22       61.26
       58.68       56.42       54.43       52.68       51.14       49.79       48.59       47.54
       46.61       45.80       45.09       44.47       43.94       43.50       43.14       42.86
       42.65       42.52       42.46       42.46       42.53       42.66       42.84       43.08
       43.37       43.72       44.13       44.61       45.15       45.77       46.46       47.22
       48.07       48.99       50.00       51.09       52.26       53.52       54.89       56.36
       57.95       59.68       61.55       63.59       65.80       68.19       70.79       73.60
       76.65       79.95       83.53       87.43       91.67       96.32      101.42      107.04
      113.23      120.08      127.66      136.08      145.44      155.85      167.47      180.46
      195.01      211.37      229.77      250.50      273.86      300.15      329.66      362.66
      399.33      439.75      483.77      531.04      580.88      632.23      683.62      733.17
      778.65      817.62      847.61      866.50      872.74      865.65      845.57      813.84
      772.61      724.57      672.58      619.30      566.95      517.15      470.88      428.58
      390.22      355.54      324.08      295.40      269.06      244.74      222.22      201.37
      182.13      164.52      148.55      134.23      121.52      110.37      100.67       92.29
       85.07       78.84       73.45       68.72       64.54       60.79       57.37       54.24
       51.35       48.67       46.20       43.92       41.83       39.90       38.12       36.49
       34.97       33.56       32.23       30.98       29.79       28.66       27.59       26.58
       25.63       24.73       23.89       23.10       22.37       21.67       21.02       20.40
       19.80       19.23       18.68       18.15       17.64       17.16       16.70       16.26
       15.84       15.45       15.08       14.73       14.40       14.07       13.76       13.46
       13.16       12.87       12.60       12.33       12.08       11.84       11.61       11.40
       11.19       10.99       10.80       10.62       10.43       10.26       10.09        9.92
        9.76        9.60        9.45        9.31        9.18        9.05        8.93        8.81
        8.69        8.58        8.47        8.36        8.26        8.16        8.06        7.96
        7.87        7.79        7.71        7.63        7.56        7.49        7.42        7.35
        7.28        7.22        7.16        7.09        7.03        6.98        6.92        6.87
        6.83        6.79        6.74        6.71        6.67        6.63        6.59        6.56
        6.52        6.49        6.46        6.43        6.40        6.38        6.36        6.34
        6.32        6.31        6.29        6.28        6.27        6.26        6.24        6.23
        6.23        6.22        6.22        6.22        6.22        6.22        6.23        6.23
        6.24        6.25        6.26        6.27        6.28        6.29        6.31        6.33
        6.35        6.37        6.40        6.42        6.45        6.48        6.52        6.55
        6.59        6.63        6.67        6.71        6.75        6.80        6.85        6.90
        6.96        7.02        7.08        7.15        7.22        7.29        7.36        7.43
        7.51        7.59        7.68        7.77        7.87        7.97        8.08        8.19
        8.30        8.42        8.55        8.68        8.81        8.96        9.11        9.26
        9.42        9.59        9.77        9.95       10.15       10.35       10.57       10.80
       11.03       11.28       11.54       11.81       12.09       12.39       12.70       13.03
       13.39       13.76       14.15       14.57       15.00       15.46       15.94       16.45
       16.99       17.57       18.18       18.83       19.53       20.27       21.05       21.89
       22.78       23.72       24.74       25.83       27.00       28.26       29.61       31.07
       32.63       34.30       36.11       38.05       40.17       42.46       44.97       47.72
       50.75       54.08       57.78       61.89       66.51       71.74       77.67       84.44
       92.13      100.80      110.44      120.96      132.15      143.70      155.18      166.08
      175.85      183.93      189.83      193.16      193.68      191.31      186.17      178.56
      168.89      157.70      145.55      133.00      120.57      108.67       97.60       87.56
       78.64       70.82       64.04       58.20       53.15       48.78       44.97       41.63
       38.67       36.05       33.70       31.59       29.69       27.97       26.40       24.96
       23.64       22.41       21.28       20.22       19.25       18.34       17.51       16.74
       16.02       15.35       14.73       14.15       13.59       13.07       12.58       12.12
       11.69       11.29       10.92       10.57       10.24        9.93        9.64        9.36
        9.10        8.85        8.62        8.39        8.19        7.99        7.81        7.63
        7.47        7.32        7.18        7.04        6.91        6.80        6.68        6.58
        6.49        6.40        6.31        6.24        6.17        6.10        6.04        5.98
        5.94        5.90        5.86        5.84        5.82        5.81        5.80        5.80
        5.80        5.80        5.81        5.83        5.85        5.88        5.92        5.97
        6.03        6.11        6.19        6.28        6.38        6.49        6.60        6.73
        6.87        7.02        7.19        7.38        7.60        7.84        8.10        8.40
        8.72        9.08        9.47        9.91       10.39       10.92       11.51       12.17
       12.93       13.80       14.83       16.06       17.59       19.58       22.27       26.05
       31.50       39.44       50.99       67.51       90.61      121.92      162.84      214.23
      275.98      346.68      423.38      501.46      574.76      635.90      677.30      692.85
      680.10      641.29      582.34      510.79      434.01      358.25      288.24      227.07
      176.30      136.17      105.94       84.27       69.56       60.22       54.80       52.13
       51.28       51.55       52.40       53.47       54.45       55.16       55.44       55.20
       54.39       52.99       51.05       48.63       45.81       42.71       39.46       36.17
       32.97       29.95       27.20       24.78       22.73       21.05       19.75       18.80
